LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY_TYPE,HOUSE AGE,PARKING_SPACES,PARKING,BALCONY,GARDEN,DRAINAGE,DRINKING_WATER,EARTHQUAKE_RESISTANT,MODULAR_KITCHEN,LIVING_ROOM,DINING_ROOM,POWER_BACKUP,AMENITIES_COUNT
"Bhaisepati, Lalitpur",40000000.0,1369.0,20.0,NORTH,2.5,5.0,4.0,Villa,3.0,2,1,0,0,0,1,1,1,0,1,0,10
"Sanepa, Lalitpur",59500000.0,1711.25,16.0,NORTH-EAST,3.0,6.0,5.0,Bungalow,5.0,2,1,1,0,0,1,1,1,0,1,0,11
"Nakkhu, Lalitpur",39000000.0,1711.25,13.0,EAST,2.5,4.0,4.0,House,5.0,2,1,0,0,0,1,1,1,0,1,0,11
"Setipakha, Lalitpur",32000000.0,1369.0,13.0,EAST,3.0,8.0,3.0,House,5.0,1,1,1,1,0,0,1,0,0,0,0,11
"Setipakha, Lalitpur",32500000.0,1369.0,13.0,EAST,3.0,8.0,3.0,House,6.0,1,1,1,1,0,1,1,1,0,0,0,11
"Sunakothi, Lalitpur",51500000.0,2429.975,20.0,SOUTH,2.5,4.0,4.0,House,9.0,1,1,0,1,1,1,1,0,0,1,1,11
"Kalanki, Kathmandu",35000000.0,1369.0,10.0,SOUTH,3.5,8.0,6.0,House,8.0,1,1,1,0,0,1,1,0,0,1,1,11
"Imadol, Lalitpur",32500000.0,1471.675,20.0,EAST,2.5,4.0,4.0,Bungalow,5.0,1,1,0,1,1,1,1,0,0,0,1,11
"Bhangal, Kathmandu",32000000.0,1060.9750000000001,13.0,NORTH,2.5,5.0,6.0,House,9.0,0,1,1,0,1,1,1,0,0,1,1,11
"Sukedhara, Kathmandu",55000000.0,1779.7,13.0,SOUTH,2.5,5.0,3.0,House,8.0,0,1,1,0,0,1,0,0,0,1,1,11
"Setipakha, Lalitpur",23000000.0,787.175,13.0,EAST,2.5,5.0,3.0,House,9.0,1,1,1,1,0,1,1,1,0,1,0,11
"Chandragiri, Kathmandu",17000000.0,1129.425,20.0,EAST,2.0,3.0,3.0,House,5.0,0,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",24000000.0,787.175,13.0,SOUTH,3.5,5.0,4.0,House,6.0,0,1,1,0,1,1,1,0,0,1,1,11
"Tikathali, Lalitpur",27500000.0,1369.0,13.0,SOUTH,2.5,4.0,4.0,House,9.0,0,1,1,0,1,1,1,0,0,1,1,11
"Tikathali, Lalitpur",22500000.0,1095.2,13.0,SOUTH,2.5,4.0,3.0,House,9.0,0,1,1,0,1,1,1,0,0,1,1,11
"Lubhu, Lalitpur",18000000.0,1437.45,13.0,EAST,2.5,4.0,4.0,House,5.0,0,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",25000000.0,1095.2,14.0,SOUTH,2.5,3.0,3.0,House,6.0,1,1,1,0,1,1,1,0,0,1,1,11
"Setipakha, Lalitpur",16500000.0,1060.9750000000001,13.0,NORTH-EAST,1.0,1.0,1.0,House,9.0,1,1,1,1,0,1,0,1,0,1,0,11
"Bhaisepati, Lalitpur",51000000.0,2156.1749999999997,12.0,SOUTH,2.5,5.0,5.0,House,5.0,0,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",59900000.0,2395.75,20.0,EAST,2.5,5.0,3.0,House,6.0,2,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",32500000.0,1471.675,20.0,EAST,2.5,4.0,3.0,House,9.0,2,1,1,1,1,1,0,0,0,0,1,11
"Bhaisepati, Lalitpur",27500000.0,1095.2,13.0,NORTH,2.5,5.0,5.0,House,6.0,0,1,1,0,1,1,1,0,0,1,1,11
Other,12700000.0,1369.0,13.0,EAST,1.0,2.0,1.0,House,9.0,0,0,1,0,1,1,1,1,0,1,1,11
"Bhaisepati, Lalitpur",61000000.0,2053.5,18.0,SOUTH,3.5,6.0,4.0,Bungalow,13.0,3,1,1,1,1,1,0,0,0,0,0,11
"Hattiban, Lalitpur",36900000.0,1403.225,18.0,SOUTH,3.5,5.0,4.0,Bungalow,4.0,1,1,1,1,1,1,0,0,0,0,0,11
"Sunakothi, Lalitpur",23000000.0,787.175,20.0,EAST,2.0,3.0,2.0,House,13.0,1,1,1,1,1,1,0,1,0,0,1,11
"Budhanilkantha, Kathmandu",32000000.0,1369.0,14.0,SOUTH,2.0,5.0,5.0,Villa,4.0,6,1,1,1,1,1,1,1,0,0,0,11
Other,15500000.0,1095.2,20.0,SOUTH-WEST,2.5,6.0,3.0,House,5.0,0,1,1,0,0,1,1,0,0,1,1,11
"Dhapasi, Kathmandu",42500000.0,1437.45,13.0,WEST,2.5,7.0,6.0,House,3.0,2,1,1,0,1,1,1,0,0,0,1,11
Other,35000000.0,1369.0,15.0,NORTH,2.0,6.0,5.0,Bungalow,7.0,5,1,1,1,1,1,1,0,0,0,0,11
"Budhanilkantha, Kathmandu",28000000.0,1095.2,16.0,SOUTH,3.0,6.0,6.0,House,7.0,1,1,1,0,1,1,1,0,0,1,1,11
"Lubhu, Lalitpur",13300000.0,1026.75,13.0,SOUTH,1.5,2.0,1.0,House,6.0,1,1,0,1,0,1,1,0,1,1,0,11
"Imadol, Lalitpur",16000000.0,752.95,13.0,SOUTH,2.0,4.0,2.0,House,8.0,0,1,1,1,0,1,1,1,0,1,0,11
