LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY_TYPE,HOUSE AGE,PARKING_SPACES,PARKING,BALCONY,GARDEN,DRAINAGE,DRINKING_WATER,EARTHQUAKE_RESISTANT,MODULAR_KITCHEN,LIVING_ROOM,DINING_ROOM,POWER_BACKUP,AMENITIES_COUNT
"Chunikhel, Kathmandu",28500000.0,1403.225,13.0,SOUTH,2.5,6.0,5.0,House,18.0,0,1,0,0,1,1,1,0,0,0,0,7
"Bhaisepati, Lalitpur",27500000.0,1369.0,13.0,SOUTH,2.5,5.0,4.0,House,15.0,0,1,0,0,1,1,0,0,0,0,1,5
"Baluwakhani, Kathmandu",17000000.0,1095.2,13.0,EAST,1.0,2.0,1.0,House,6.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,48500000.0,2738.0,20.0,SOUTH-EAST,2.5,4.0,4.0,House,5.0,0,1,0,0,1,1,0,0,0,0,1,6
"Golfutar, Kathmandu",65000000.0,2087.725,14.0,WEST,2.5,5.0,4.0,Bungalow,5.0,0,0,0,1,0,0,1,1,0,1,1,11
"Bhaisepati, Lalitpur",49500000.0,1369.0,13.0,SOUTH-EAST,2.5,4.0,4.0,Bungalow,16.0,0,1,0,0,1,1,1,0,0,0,1,8
"Jyotinagar, Kathmandu",35000000.0,1711.25,18.0,EAST,2.5,5.0,4.0,House,5.0,0,1,0,0,1,1,0,0,0,0,1,5
"Baluwakhani, Kathmandu",24500000.0,1026.75,20.0,WEST,2.5,5.0,3.0,House,18.0,0,0,0,0,1,1,0,0,0,0,1,4
"Goldhunga, Kathmandu",17000000.0,1129.425,10.0,SOUTH,2.5,5.0,3.0,House,33.0,0,1,0,0,1,1,0,0,0,0,1,5
Other,18500000.0,1026.75,14.0,EAST,2.5,4.0,3.0,House,9.0,0,1,0,0,1,0,1,0,0,0,1,9
"Bhaisepati, Lalitpur",25000000.0,1026.75,16.0,SOUTH-EAST,3.5,4.0,5.0,House,13.0,0,1,0,0,1,1,1,1,0,0,1,10
"Baluwatar, Kathmandu",80000000.0,3422.5,10.0,SOUTH-EAST,2.5,,5.0,Bungalow,11.0,0,1,0,1,1,1,0,0,0,0,0,6
Other,18900000.0,1095.2,15.0,UNKNOWN,2.5,,4.0,House,14.0,0,1,0,0,1,0,1,0,0,0,0,5
Other,10000000.0,1026.75,24.0,EAST,2.5,7.0,3.0,House,4.0,0,0,0,0,1,1,0,0,0,0,1,4
"Bhangal, Kathmandu",35000000.0,2053.5,16.0,SOUTH,2.5,,4.0,Bungalow,13.0,0,1,0,1,1,1,1,0,0,0,1,9
"Sitapaila, Kathmandu",30000000.0,1369.0,12.0,SOUTH,2.5,7.0,5.0,Bungalow,11.0,0,1,0,0,1,1,1,0,0,0,1,8
Other,45000000.0,1711.25,20.0,SOUTH-EAST,3.5,7.0,7.0,House,11.0,0,1,0,0,1,1,0,0,0,0,0,5
"Budhanilkantha, Kathmandu",44800000.00000001,1711.25,13.0,NORTH-EAST,2.5,7.0,5.0,House,14.0,0,0,0,0,1,1,0,0,0,0,1,4
"Rudreshwor, Kathmandu",35000000.0,1711.25,13.0,WEST,2.5,5.0,5.0,House,14.0,0,1,0,0,1,1,1,0,0,0,0,6
"Budhanilkantha, Kathmandu",60000000.0,3114.475,13.0,SOUTH-WEST,2.5,4.0,5.0,House,4.0,0,1,0,1,1,1,1,0,0,0,1,8
"Syuchatar, Kathmandu",85000000.0,1403.225,20.0,SOUTH,3.5,7.0,4.0,House,7.0,0,1,0,0,1,1,0,0,0,0,1,5
"Sundarbasti, Kathmandu",24900000.000000004,1095.2,13.0,EAST,2.5,7.0,4.0,House,11.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,27500000.0,1060.9750000000001,16.0,WEST,2.5,5.0,4.0,House,11.0,0,1,0,0,1,1,1,0,0,0,0,6
"Chunikhel, Kathmandu",31500000.0,1403.225,13.0,EAST,3.5,5.0,6.0,House,14.0,0,1,0,0,1,1,1,0,0,0,0,6
Other,19000000.0,1369.0,20.0,NORTH,2.5,7.0,5.0,House,4.0,0,0,0,0,1,1,0,0,0,0,1,4
Other,26000000.0,1026.75,14.0,SOUTH-WEST,2.5,3.0,4.0,Bungalow,13.0,0,1,0,1,1,0,1,1,0,0,1,10
"Jyotinagar, Kathmandu",22500000.0,1197.875,13.0,SOUTH,2.5,6.0,4.0,House,4.0,0,0,0,0,1,1,0,0,0,0,1,4
"Mandikhatar, Kathmandu",145000000.0,5133.75,20.0,NORTH-EAST,2.5,4.0,5.0,House,14.0,0,1,0,1,1,1,1,0,0,0,0,8
Other,25000000.0,1197.875,11.0,EAST,6.5,8.0,5.0,House,4.0,0,1,0,0,1,1,1,0,0,0,0,6
"Bafal, Kathmandu",27500000.0,1437.45,13.0,SOUTH,2.5,4.0,4.0,House,7.0,0,1,0,0,1,1,1,0,0,0,1,10
Other,32200000.000000004,1779.7,12.0,SOUTH,2.5,5.0,4.0,House,7.0,0,1,0,1,1,1,0,0,0,0,1,6
Other,35000000.0,1437.45,20.0,NORTH,3.5,5.0,6.0,House,25.0,0,0,0,0,1,1,0,0,0,0,1,4
Other,51000000.0,1471.675,20.0,WEST,2.5,4.0,3.0,House,14.0,0,1,0,0,1,1,0,0,0,0,1,5
"Bhaisepati, Lalitpur",27500000.0,1095.2,20.0,SOUTH,2.5,4.0,5.0,House,4.0,0,1,0,0,1,1,0,0,0,0,1,5
"Dhapakhel, Lalitpur",40000000.0,1369.0,27.0,SOUTH-WEST,2.5,4.0,5.0,Bungalow,4.0,0,1,0,0,1,1,0,0,0,0,1,5
"Budhanilkantha, Kathmandu",61000000.0,2053.5,15.0,NORTH-EAST,2.5,6.0,5.0,House,10.0,0,1,0,0,1,1,1,0,0,0,0,6
Other,26000000.0,1026.75,13.0,SOUTH-WEST,2.5,5.0,3.0,House,14.0,0,0,0,0,1,1,0,0,0,0,1,5
"Syuchatar, Kathmandu",39000000.0,1369.0,20.0,SOUTH,2.5,4.0,4.0,House,13.0,0,0,0,0,1,1,0,0,0,0,1,4
"Bafal, Kathmandu",28500000.0,1369.0,14.0,EAST,2.5,3.0,6.0,House,11.0,0,0,0,0,1,1,0,0,0,0,1,4
Other,19500000.0,1026.75,13.0,WEST,2.5,5.0,3.0,House,11.0,0,1,0,0,1,1,0,0,0,0,0,5
"Imadol, Lalitpur",32500000.0,1711.25,11.5,WEST,3.0,12.0,4.0,House,25.0,0,1,0,0,1,1,0,0,0,0,1,5
"Dhapakhel, Lalitpur",40000000.0,18954.0,12.0,EAST,3.5,7.0,5.0,House,11.0,0,1,0,0,1,1,0,0,0,0,1,5
"Budhanilkantha, Kathmandu",15500000.0,1060.9750000000001,14.0,SOUTH,1.0,,4.0,House,14.0,0,0,0,0,1,1,0,0,0,0,1,4
"Kapan, Kathmandu",28500000.0,1437.45,13.0,EAST,2.5,6.0,5.0,House,14.0,0,1,0,0,1,1,1,0,0,0,0,7
Other,65500000.0,2806.45,12.0,SOUTH-EAST,2.5,6.0,4.0,Bungalow,4.0,0,1,0,0,1,1,1,0,0,0,0,6
"Bhaisepati, Lalitpur",32000000.0,1129.425,16.5,NORTH-EAST,2.5,4.0,4.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,125000000.0,2840.675,14.0,SOUTH,3.0,5.0,5.0,Bungalow,7.0,0,1,0,1,1,1,1,0,0,0,0,7
"Dhapasi, Kathmandu",36000000.0,1403.225,16.0,SOUTH-EAST,3.5,7.0,7.0,House,11.0,0,1,0,0,1,1,0,0,0,0,1,5
Other,18000000.0,376.475,5.0,EAST,4.5,7.0,4.0,House,14.0,0,0,0,0,1,1,0,0,0,0,1,4
Other,18500000.0,1060.9750000000001,10.0,WEST,4.0,7.0,5.0,House,13.0,0,0,0,0,1,1,0,0,0,0,0,4
Other,100000000.0,4791.5,13.0,SOUTH,3.5,8.0,6.0,House,25.0,0,0,0,0,1,1,0,0,0,0,1,4
"Dhapakhel, Lalitpur",27000000.0,1026.75,20.0,NORTH-EAST,2.5,5.0,4.0,House,11.0,0,1,0,0,1,1,0,0,0,0,1,6
Other,28500000.0,1471.675,13.0,SOUTH,2.0,4.0,2.0,House,14.0,0,1,0,1,1,1,0,0,0,0,1,6
"Imadol, Lalitpur",33000000.0,1369.0,13.0,SOUTH-EAST,2.5,5.0,4.0,Bungalow,4.0,0,1,0,0,1,0,0,0,0,0,0,4
"Imadol, Lalitpur",36500000.0,1129.425,20.0,WEST,3.5,6.0,4.0,House,4.0,0,1,0,0,1,0,0,0,0,0,0,4
"Imadol, Lalitpur",36500000.0,1437.45,13.0,EAST,2.5,5.0,5.0,House,7.0,0,1,0,0,1,0,1,0,0,0,0,5
Other,51000000.0,1471.675,20.0,WEST,2.5,4.0,2.0,House,10.0,0,1,0,0,1,1,0,0,0,0,1,5
Other,25000000.0,1095.2,13.0,SOUTH,2.5,4.0,5.0,Bungalow,7.0,0,1,0,0,1,0,0,0,0,0,1,5
"Tikathali, Lalitpur",22000000.0,1369.0,13.0,EAST,2.0,4.0,2.0,House,11.0,0,1,0,1,1,1,1,1,0,0,1,11
"Mandikhatar, Kathmandu",120000000.0,5476.0,16.0,SOUTH,2.5,4.0,4.0,Bungalow,11.0,0,1,0,1,1,1,0,0,0,0,0,7
"Imadol, Lalitpur",23000000.0,1026.75,12.0,EAST,2.5,4.0,2.0,House,4.0,0,1,0,0,1,0,1,0,0,0,0,5
"Sanagaun, Lalitpur",22000000.0,1060.9750000000001,16.0,SOUTH,2.5,4.0,5.0,House,13.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",25000000.0,1129.425,13.0,SOUTH-WEST,2.5,4.0,4.0,House,11.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",35000000.0,1369.0,13.0,NORTH,3.5,6.0,3.0,House,9.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",35000000.0,1369.0,13.0,NORTH,3.5,7.0,4.0,House,3.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",22000000.0,1026.75,20.0,WEST,2.5,4.0,4.0,House,5.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",23000000.0,1060.9750000000001,10.0,SOUTH-EAST,2.5,5.0,5.0,House,5.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",28500000.0,1129.425,13.0,EAST,2.5,4.0,2.0,House,5.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",26000000.0,1026.75,13.0,WEST,2.5,4.0,4.0,House,5.0,0,1,0,0,1,0,1,0,0,0,0,5
Other,42500000.0,2053.5,15.0,SOUTH-WEST,3.0,8.0,3.0,House,5.0,0,1,0,0,1,1,0,0,0,0,1,6
"Khumaltar, Lalitpur",24000000.0,1745.475,12.0,EAST,2.5,5.0,5.0,House,7.0,0,0,0,1,1,0,1,0,0,0,0,6
Other,22300000.0,1026.75,16.0,NORTH,2.5,3.0,3.0,House,7.0,0,1,0,0,1,1,1,1,0,1,0,9
Other,100000000.0,2635.3250000000003,13.0,NORTH,2.5,5.0,3.0,House,7.0,0,1,0,1,1,1,0,0,0,0,1,6
"Mandikhatar, Kathmandu",27500000.0,1369.0,13.0,EAST,2.5,6.0,6.0,Bungalow,12.0,0,1,0,0,1,1,0,0,0,0,1,5
Other,28800000.0,1403.225,15.0,SOUTH,2.5,,4.0,House,9.0,0,0,0,0,1,1,0,0,0,0,1,3
Other,25500000.0,1403.225,6.5,NORTH,2.0,7.0,4.0,House,6.0,0,1,0,0,1,1,0,0,0,0,0,5
"Pasikot, Kathmandu",30000000.0,1471.675,20.0,SOUTH,2.5,5.0,4.0,House,5.0,0,1,0,0,1,1,1,0,0,0,1,7
"Goldhunga, Kathmandu",29900000.000000004,1540.125,10.0,WEST,3.5,8.0,4.0,House,9.0,0,0,0,0,1,1,0,0,0,0,1,4
Other,10000000.0,6160.5,13.0,SOUTH,2.5,5.0,7.0,House,5.0,0,1,0,0,1,1,0,0,0,0,1,5
"Goldhunga, Kathmandu",29900000.000000004,1026.75,10.0,WEST,3.5,8.0,4.0,House,5.0,0,0,0,1,0,1,1,1,0,1,0,11
Other,35000000.0,1369.0,26.0,EAST,4.5,18.0,4.0,House,5.0,0,0,0,0,1,1,0,0,0,0,1,4
Other,40000000.0,1369.0,17.0,EAST,2.5,5.0,5.0,Bungalow,7.0,0,1,0,0,1,0,1,0,0,0,0,6
"Chunikhel, Kathmandu",13300000.0,1026.75,12.0,SOUTH,1.0,2.0,1.0,House,12.0,0,1,0,0,1,0,1,0,0,0,0,4
"Imadol, Lalitpur",19000000.0,752.95,10.0,SOUTH,2.5,4.0,2.0,House,5.0,0,1,0,0,1,0,1,0,0,0,0,4
Other,40000000.0,4551.925,16.0,NORTH-EAST,3.0,6.0,4.0,House,6.0,0,0,0,1,0,0,0,1,0,1,1,11
Other,70000000.0,5133.75,36.0,SOUTH,2.5,7.0,2.0,House,5.0,0,1,0,0,1,1,0,1,0,1,1,10
"Kapan, Kathmandu",33000000.0,1129.425,22.0,SOUTH,2.5,6.0,32.0,House,8.0,0,1,0,0,1,1,0,0,0,0,0,5
"Dhapasi, Kathmandu",32500000.0,2053.5,10.0,EAST,2.5,5.0,1.0,House,5.0,0,1,0,0,1,1,0,0,0,0,1,6
"Budhanilkantha, Kathmandu",45000000.0,1779.7,15.0,EAST,2.5,6.0,5.0,House,28.0,0,1,0,0,1,1,0,0,0,0,1,5
"Baluwakhani, Kathmandu",34500000.0,1745.475,13.0,EAST,2.5,7.0,5.0,House,5.0,0,1,0,0,1,1,0,0,0,0,1,5
Other,14300000.0,752.95,12.0,SOUTH,2.5,3.0,3.0,House,21.0,0,1,0,0,1,1,0,0,0,0,0,6
Other,65000000.0,2053.5,16.0,SOUTH-WEST,5.0,9.0,9.0,House,5.0,0,1,0,0,0,1,0,1,0,0,1,5
Other,85000000.0,3080.25,13.0,EAST,3.5,6.0,5.0,House,5.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,95000000.0,3422.5,13.0,EAST,3.5,7.0,4.0,House,5.0,0,1,0,1,1,1,0,0,0,0,0,6
Other,23000000.0,1060.9750000000001,13.0,EAST,2.5,4.0,4.0,House,5.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,75000000.0,2840.675,13.0,SOUTH,2.5,5.0,6.0,Bungalow,5.0,0,1,0,1,1,1,0,0,0,0,1,8
"Sitapaila, Kathmandu",27500000.0,1369.0,13.0,EAST,2.5,3.0,3.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Bhaisepati, Lalitpur",50000000.0,2053.5,13.0,SOUTH,2.5,4.0,5.0,House,9.0,0,1,0,1,1,1,0,0,0,0,1,6
Other,120000000.0,4107.0,10.0,SOUTH-EAST,3.5,5.0,4.0,House,3.0,0,1,0,0,1,1,0,0,0,0,0,5
"Imadol, Lalitpur",26000000.0,1095.2,13.0,EAST,2.5,4.0,4.0,House,5.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",17500000.0,752.95,13.0,NORTH,2.5,6.0,4.0,House,5.0,0,1,0,0,1,0,0,0,0,0,0,4
"Imadol, Lalitpur",23500000.0,1026.75,13.0,EAST,2.5,5.0,5.0,House,5.0,0,1,0,0,1,0,1,0,0,0,0,5
"Dhapasi, Kathmandu",29500000.0,1369.0,13.0,SOUTH,2.5,3.0,3.0,House,5.0,0,1,0,0,1,0,1,1,0,1,1,11
"Bhaisepati, Lalitpur",32000000.0,1129.425,16.5,NORTH-EAST,2.5,4.0,4.0,House,5.0,0,1,0,0,1,1,1,0,0,0,0,7
Other,40000000.0,1369.0,27.0,SOUTH-WEST,2.5,4.0,5.0,Bungalow,7.0,0,1,0,0,1,0,1,0,0,0,0,6
"Jyotinagar, Kathmandu",35000000.0,1369.0,14.0,SOUTH-EAST,2.5,7.0,4.0,House,8.0,0,1,0,0,1,1,1,0,0,0,0,7
"Imadol, Lalitpur",22500000.0,1060.9750000000001,13.0,NORTH,2.5,6.0,4.0,House,7.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",21000000.0,787.175,13.0,NORTH,2.5,4.0,4.0,House,7.0,0,1,0,0,1,0,0,0,0,0,0,4
"Ochu Height, Lalitpur",22500000.0,1026.75,13.0,WEST,2.5,4.0,5.0,House,12.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",25500000.0,1129.425,20.0,WEST,2.5,6.0,4.0,House,5.0,0,1,0,0,1,0,1,0,0,0,0,5
"Bhangal, Kathmandu",27000000.0,1369.0,18.0,SOUTH-EAST,2.5,6.0,3.0,House,9.0,0,1,0,0,1,1,0,0,0,0,1,6
"Sitapaila, Kathmandu",29500000.0,1711.25,13.0,NORTH,2.5,4.0,5.0,House,6.0,0,1,0,0,1,1,1,0,0,0,0,6
"Sitapaila, Kathmandu",37500000.0,2395.75,13.0,SOUTH,2.5,4.0,4.0,Bungalow,5.0,0,1,0,0,1,1,1,0,0,0,0,6
"Goldhunga, Kathmandu",20500000.0,1026.75,16.0,EAST,2.5,4.0,3.0,House,7.0,0,1,0,0,1,1,0,0,0,0,1,6
"Mandikhatar, Kathmandu",25000000.0,1026.75,13.0,SOUTH-EAST,2.5,10.0,5.0,House,7.0,0,1,0,0,1,1,0,0,0,0,1,6
"Bhaisepati, Lalitpur",38000000.0,1403.225,12.0,NORTH-EAST,2.5,4.0,1.0,House,5.0,0,1,0,0,1,1,0,0,0,0,1,5
"Sitapaila, Kathmandu",47000000.0,2121.9500000000003,20.0,WEST,2.5,5.0,3.0,House,9.0,0,1,0,0,1,1,0,0,0,0,1,6
"Imadol, Lalitpur",34000000.0,1369.0,13.0,SOUTH,2.5,4.0,2.0,House,5.0,0,1,0,0,1,1,0,0,0,0,1,5
Other,30000000.0,1095.2,13.0,EAST,3.0,8.0,3.0,House,21.0,0,1,0,0,1,1,0,0,0,0,1,5
"Syuchatar, Kathmandu",22000000.0,1095.2,14.0,NORTH,2.0,4.0,2.0,House,5.0,0,1,0,0,1,1,0,0,0,0,1,6
"Kapan, Kathmandu",22500000.0,1095.2,13.0,EAST,2.5,,4.0,House,7.0,0,0,0,0,1,1,0,0,0,0,1,4
Other,60000000.0,3764.75,17.0,NORTH,2.5,3.0,3.0,Bungalow,17.0,0,1,0,0,1,1,0,0,0,0,1,8
Other,49900000.0,1369.0,14.0,SOUTH-EAST,3.5,,4.0,House,12.0,0,1,0,0,1,1,0,1,0,0,0,8
"Bhaisepati, Lalitpur",50000000.0,2053.5,13.0,SOUTH,2.5,4.0,5.0,Bungalow,9.0,0,1,0,0,1,1,0,0,0,0,1,5
Other,60000000.0,1779.7,15.0,WEST,2.5,6.0,4.0,Bungalow,11.0,0,1,0,1,1,1,0,0,0,0,1,7
"Budhanilkantha, Kathmandu",62000000.0,3148.7,20.0,WEST,2.5,4.0,6.0,House,17.0,0,1,0,0,1,1,0,0,0,0,1,5
Other,26000000.0,1369.0,11.0,SOUTH,2.5,6.0,3.0,House,13.0,0,1,0,0,1,1,0,0,0,0,1,5
Other,27000000.0,1026.75,32.0,SOUTH,2.5,4.0,6.0,House,5.0,0,0,0,0,1,1,0,0,0,0,1,4
"Baluwakhani, Kathmandu",27500000.0,1060.9750000000001,16.0,WEST,3.0,6.0,3.0,House,19.0,0,0,0,0,1,1,0,0,0,0,1,4
"Mandikhatar, Kathmandu",42500000.0,1369.0,20.0,SOUTH,2.5,4.0,5.0,House,15.0,0,1,0,0,0,1,0,0,0,0,1,4
"Pepsicola, Kathmandu",32500000.0,1711.25,18.0,SOUTH-EAST,3.0,5.0,4.0,House,9.0,0,1,0,0,1,1,0,0,0,0,1,6
"Kapan, Kathmandu",18500000.0,787.175,13.0,UNKNOWN,2.5,,4.0,House,21.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,27500000.0,1060.9750000000001,16.0,WEST,2.5,,4.0,House,17.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,12000000.0,1060.9750000000001,20.0,NORTH-EAST,1.0,2.0,1.0,House,5.0,0,1,0,0,1,1,0,0,0,0,0,4
"Kapan, Kathmandu",45500000.0,2053.5,15.0,NORTH,2.5,5.0,3.0,House,7.0,0,1,0,0,1,1,1,0,0,0,0,6
"Dhapasi, Kathmandu",47000000.0,3080.25,12.0,EAST,2.5,6.0,2.0,House,8.0,0,1,0,1,1,1,0,0,0,0,1,6
Other,9000000.0,1095.2,13.0,EAST,2.0,5.0,1.0,House,18.0,0,0,0,0,1,1,0,0,0,0,1,4
"Bhaisepati, Lalitpur",90000000.0,2053.5,15.0,SOUTH-EAST,2.5,5.0,5.0,House,12.0,0,1,0,0,1,1,0,0,0,0,1,4
"Bhaisepati, Lalitpur",45000000.0,1437.45,13.0,SOUTH-EAST,2.5,5.0,4.0,Bungalow,5.0,0,1,0,1,1,1,0,0,0,1,1,9
"Mandikhatar, Kathmandu",26500000.0,1060.9750000000001,13.0,WEST,2.5,6.0,4.0,House,9.0,0,0,0,0,1,1,0,0,0,0,1,4
"Mandikhatar, Kathmandu",38500000.0,1711.25,13.0,EAST,2.5,6.0,4.0,House,5.0,0,1,0,0,1,1,0,0,0,0,1,6
"Imadol, Lalitpur",24500000.0,1060.9750000000001,13.0,NORTH,2.5,,4.0,House,15.0,0,0,0,0,1,0,0,0,0,0,0,3
"Hepali Height, Kathmandu",33500000.0,1369.0,13.0,NORTH-EAST,2.5,4.0,5.0,House,5.0,0,1,0,1,1,1,0,0,0,0,1,6
"Pepsicola, Kathmandu",67500000.0,2395.75,20.0,SOUTH,2.5,5.0,4.0,House,9.0,0,1,0,1,1,1,0,0,0,0,1,7
"Bhaisepati, Lalitpur",40000000.0,1437.45,20.0,SOUTH-EAST,2.5,6.0,4.0,House,3.0,0,1,0,1,1,0,0,0,0,0,0,5
"Khumaltar, Lalitpur",39000000.0,1437.45,14.0,SOUTH,2.5,4.0,4.0,Bungalow,21.0,0,1,0,1,1,1,0,0,0,0,0,7
Other,31000000.0,1437.45,14.0,SOUTH-WEST,3.5,6.0,5.0,House,17.0,0,1,0,0,1,1,0,0,0,0,1,7
"Kusunti, Lalitpur",40000000.0,1437.45,11.0,WEST,2.5,4.0,4.0,House,25.0,0,1,0,1,1,1,0,0,0,0,1,7
"Golfutar, Kathmandu",125000000.0,3080.25,12.0,SOUTH,2.5,6.0,4.0,Bungalow,5.0,0,1,0,1,1,1,0,0,0,0,1,8
Other,36000000.0,1129.425,13.0,NORTH-WEST,2.5,7.0,4.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,31500000.0,1711.25,12.0,SOUTH-WEST,2.5,6.0,5.0,House,11.0,0,1,0,0,1,1,1,0,0,0,0,7
"Hattiban, Lalitpur",40000000.0,1403.225,13.0,NORTH-EAST,3.0,7.0,5.0,House,21.0,0,1,0,1,1,1,1,0,0,0,0,8
"Bhangal, Kathmandu",32000000.0,1403.225,13.0,NORTH-EAST,2.5,,4.0,Bungalow,13.0,0,1,0,0,1,1,1,0,0,0,1,8
"Nakhipot, Lalitpur",32500000.0,12028.5,13.0,WEST,2.5,5.0,4.0,House,28.0,0,1,0,1,1,1,0,0,0,0,1,7
Other,10000000.0,752.95,13.0,NORTH-WEST,1.0,3.0,1.0,House,5.0,0,0,0,0,1,1,0,0,0,0,0,3
Other,26500000.0,1711.25,36.0,NORTH-EAST,2.5,8.0,4.0,House,19.0,0,1,0,0,1,1,0,0,0,0,1,5
"Bhaisepati, Lalitpur",45000000.0,1197.875,15.0,SOUTH,2.5,4.0,4.0,House,15.0,0,1,0,1,1,1,0,0,0,0,1,8
"Golfutar, Kathmandu",32500000.0,1369.0,13.0,EAST,2.5,4.0,2.0,House,9.0,0,1,0,0,1,1,0,0,0,0,1,7
"Sitapaila, Kathmandu",14000000.0,1026.75,13.0,WEST,1.0,2.0,1.0,House,3.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,62000000.0,2464.2000000000003,13.0,WEST,5.0,17.0,10.0,House,21.0,0,1,0,0,1,1,0,0,0,0,0,5
"Kapan, Kathmandu",13500000.0,1026.75,13.0,SOUTH,1.0,2.0,1.0,House,17.0,0,1,0,0,1,1,0,0,0,0,1,5
"Hepali Height, Kathmandu",33500000.0,1369.0,13.0,NORTH-EAST,2.5,4.0,5.0,House,5.0,0,1,0,0,1,1,0,0,0,0,1,7
"Budhanilkantha, Kathmandu",36000000.0,1711.25,14.0,SOUTH-WEST,2.5,6.0,5.0,House,27.0,0,1,0,0,1,1,0,0,0,0,1,7
Other,32000000.0,787.175,16.0,SOUTH,4.0,8.0,4.0,House,12.0,0,1,0,0,1,1,0,0,0,0,0,4
"Sitapaila, Kathmandu",65000000.0,1711.25,13.0,EAST,2.5,5.0,7.0,Bungalow,5.0,0,1,0,1,1,1,0,0,0,0,0,6
"Pasikot, Kathmandu",45000000.0,1505.9,15.0,NORTH-EAST,2.5,4.0,3.0,Bungalow,9.0,0,1,0,1,1,1,0,0,0,0,1,9
"Dhapasi, Kathmandu",58000000.0,3114.475,17.5,SOUTH,3.5,5.0,5.0,House,6.0,0,1,0,1,1,1,1,0,0,1,1,10
"Baluwatar, Kathmandu",65000000.0,22599.0,15.0,EAST,2.5,5.0,5.0,House,5.0,0,1,0,1,1,1,0,0,0,0,1,7
"Gothatar, Kathmandu",24000000.0,1129.425,28.0,NORTH-WEST,2.5,5.0,3.0,House,5.0,0,1,0,0,1,1,1,0,0,0,0,6
Other,50000000.0,2053.5,10.5,NORTH,3.0,5.0,5.0,House,19.0,0,1,0,1,1,1,0,0,0,0,1,6
"Bhangal, Kathmandu",65000000.0,5202.2,24.0,WEST,3.0,6.0,6.0,Bungalow,15.0,0,1,0,1,1,1,0,0,0,0,0,6
"Nakhipot, Lalitpur",36000000.0,1369.0,12.0,SOUTH-EAST,2.5,7.0,5.0,House,28.0,0,1,0,0,1,0,1,0,0,0,1,6
"Baluwakhani, Kathmandu",22500000.0,1026.75,14.0,UNKNOWN,3.0,,4.0,House,5.0,0,1,0,0,1,1,1,0,0,0,0,6
"Imadol, Lalitpur",21000000.0,1026.75,13.0,SOUTH,2.5,3.0,3.0,House,15.0,0,1,0,0,1,0,0,0,0,0,1,5
"Budhanilkantha, Kathmandu",105000000.0,4449.25,13.0,EAST,2.5,4.0,4.0,Bungalow,9.0,0,1,0,1,1,1,0,0,0,0,0,8
"Budhanilkantha, Kathmandu",46000000.0,2053.5,13.0,WEST,2.5,4.0,4.0,House,3.0,0,1,0,0,1,1,0,0,0,0,0,6
Other,36000000.0,1403.225,16.0,WEST,2.5,4.0,4.0,Bungalow,21.0,0,1,0,0,1,1,0,0,0,0,1,5
"Mandikhatar, Kathmandu",34500000.0,1471.675,13.0,EAST,2.5,5.0,5.0,Bungalow,17.0,0,1,0,0,1,1,0,0,0,0,1,5
"Dhapasi, Kathmandu",44000000.0,2395.75,13.0,NORTH-EAST,2.5,5.0,4.0,House,5.0,0,1,0,1,1,1,0,0,0,0,1,7
Other,13799999.999999998,1026.75,13.0,EAST,1.0,2.0,1.0,House,6.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,18500000.0,1026.75,13.0,SOUTH,2.5,5.0,3.0,House,5.0,0,1,0,0,1,1,1,0,0,0,0,6
"Baluwatar, Kathmandu",80000000.0,2738.0,10.0,SOUTH,2.5,3.0,4.0,Bungalow,19.0,0,1,0,1,1,1,1,0,0,0,1,11
Other,24000000.0,752.95,24.0,NORTH,4.0,4.0,4.0,House,5.0,0,1,0,0,1,0,1,0,0,0,0,5
"Deuwa Chowk, Kathmandu",24000000.0,1026.75,13.0,EAST,2.5,,4.0,House,9.0,0,1,0,0,1,1,1,0,0,0,0,7
